alloy_code,carbon,silicon,manganese,phosphorus,sulphur,nickel,chromium,molybdenum,cooper,vanadium,aluminum,nitrogen,carbon_equivalent,niobium_tantalum,temperature_c,yield_strength_mpa,tensile_strength_mpa
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,100,304,469
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,200,310,592
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,300,275,596
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,400,238,487
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,450,249,437
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,500,248,385
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,550,219,330
LAH,0.17,0.3,0.63,0.012,0.012,0.04,0.09,0.52,0.1,0.0,0.003,0.007,0.0,0.0,600,177,268
LAL,0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,0.0,27,420,530
LAL,0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,0.0,100,324,437
LAL,0.14,0.39,0.63,0.008,0.005,0.0,0.0,0.58,0.03,0.0,0.004,0.006,0.0,0.0,200,412,616
